Title,Method,Product Type,Population,Measurements Used,Study Design,Key Findings,Year,Journal Source,Quality Level
Utilizing Additive Manufacturing for Economical Prosthetic Limb Prototyping: A Guide from Regression Modelling[23],"Manual anthropometric measurement (flexible measuring tape for ASIS to medial malleolus and acromion to olecranon) on 250 participants, statistical analysis with descriptive statistics and multivariate regression modelling to produce predictive equations, and CAD-based 3D prosthesis prototyping using SolidWorks for additive manufacturing[23]",Lower-limb prosthetic (below-knee prosthetic) prototype intended for prosthetic limb design and additive manufacturing[23],"250 healthy young adults (male and female), ages 22–35 years[23]","Linear segment measurements: total leg length (ASIS to medial malleolus) and elbow/upper arm length (acromion to olecranon) measured with flexible tape; RLL, LLL, REL, LEL recorded in cm[23]",Observational descriptive study with multivariate regression modelling to develop predictive equations for limb length[23],"Developed a multivariate regression model with very high predictive accuracy (r=0.993, r²=0.986) allowing estimation of right leg length from left leg and elbow lengths; derived equation (RLL = 2.253 + 0.959 LLL + 0.054 LEL) and demonstrated translation to a 3D-printed lower-limb prosthetic prototype, recommending further validation across diverse populations[23]",2024[23],Semantic Scholar entry for the article (full journal name not provided in source)[23],"Moderate quality: reasonable sample size (n=250) and clear methods with regression validation, but limited by single-population sampling (healthy young adults, Nigeria) and no clinical testing on amputee users[23]"
Relationship between Learning Environment Design and Musculoskeletal Disorders in Learners[24],"Manual anthropometric data collection using stadiometer and tape measure, each measurement averaged over three trials, statistical analysis including means, SD, percentiles (5th,50th,95th), and match/mismatch calculations using one-way and two-way limits equations to compare body measurements with furniture dimensions[24]",Classroom furniture (chair-with-table) — ergonomic furniture design[24],"University students from Kumasi Technical University, Ghana; sample n=188 (108 males, 80 females); age 18–32, mean 22.86 years[24]","Anthropometric measures: popliteal-to-floor height, elbow-to-seat height, thigh thickness, sitting height, buttock-to-popliteal length, buttock-to-knee length, elbow-to-elbow breadth, width of bitrochanter, subscapular height, sitting shoulder height, and stature; Design dimensions: seat height, backrest upper edge, seat width, seat depth, table length/width/height, backrest height, footrest[24]",Observational cross-sectional anthropometric study with statistical analysis (descriptive percentiles and match/mismatch comparisons)[24],"High prevalence of mismatch between student anthropometry and classroom furniture: notably seat width, seat depth, backrest height/upper edge, and table height (up to 92.6–100% mismatch). Authors provide percentile-based recommended furniture dimensions to improve ergonomic fit and reduce MSD risk[24]",2024[24],Semantics Scholar record / unspecified journal (source metadata)[24],Moderate — cross-sectional study with reasonable sample size (n=188) and standard anthropometric methods; limited by single-site sampling and unspecified peer-reviewed journal details[24]
A Workflow for Studying the Stump	6Socket Interface in Persons with Transtibial Amputation through 3D Thermographic Mapping[25],Integrated 2D thermal image acquisition and 3D surface scanning with spatial registration using 3D thermographic markers; Kinect-based 3D scanning with Skanect; thermal camera calibration and image-to-geometry registration in MeshLab; color-temperature mapping using MATLAB image processing and an ANN to map RGB to temperature[25],Prosthetic socket / lower-limb prosthesis (transtibial)[25],Single-case: 65-year-old man with traumatic third-proximal transtibial amputation (n=1)[25],Thermal temperature matrices (240x320 pixels) mapped onto high-resolution 3D meshes (~16k vertices) using 3D thermographic markers; registration accuracy reported (median error 2.7 mm)[25],Method development and feasibility case study (experimental single-subject)[25],"Feasibility: successful integration of thermal and 3D data with median registration error 2.7 mm; identified hot spots post-walking useful to inform socket adjustments; protocol uses low-cost, widely available tools and markers and can support socket manufacturing decisions[25]",2023[25],"Sensors (MDPI), 2023[25]",Low (single-subject feasibility study; limited generalizability)[25]
Review and critique of current testing protocols for upper-limb prostheses: a call for standardization amidst rapid technological advancements[26],"Systematic narrative review of task-based assessment protocols; extraction and analysis of methods used in identified tests including motion capture and eye-tracking (GaMA)[26], task-based object manipulation protocols such as AHAP using standardized object sets and rater scoring[26].",Upper-limb prostheses (prosthetic hands/arms)[26],Pediatric and adult prosthesis users as represented in reviewed studies; varied sample sizes across included tests (not summarized in source)[26],"Measurement techniques include motion capture and eye-tracking for kinematics and gaze (GaMA)[26], inertial measurement units and pressure mats for movement/deviation metrics (PHAM)[26], and standardized object dimensions/counts for task scoring (BBT)[26].",Narrative review of peer-reviewed assessment studies and protocols (summary and critique of 25 validated tests)[26],"Identified gaps: lack of standardized measures, limited integration of patient feedback in most tests[26]; recommendation for dual clinical/research testing streams to balance efficiency and comprehensiveness[26]; highlighted design-relevant factors affecting prosthesis use such as socket fit and comfort that influence adoption[26].",2023[26],Frontiers in Robotics and AI (Front. Robot. AI)[26],Moderate — peer-reviewed narrative review synthesizing many validated assessment studies; provides broad critique but does not present new primary anthropometric data[26]
Functionality and Comfort Design of Lower-Limb Prosthetics: A Review[27],"Discusses manual plaster casting, 3D scanning and digital modeling, CAD/CAM workflows for 3D printing, finite element analysis (FEA), and pressure-mapping/computer simulation methods for socket design and load distribution[27]","Lower-limb prosthetic devices (transtibial/transtemporal sockets, transfemoral prostheses, prosthetic feet and knees)[27]",Individuals with lower-limb amputations; specific cited studies include transtibial and transfemoral populations but source does not consistently list sample sizes or age ranges for all referenced papers[27],"Residual limb shape and dimensions (3D surface geometry), socket–residual limb interface pressures/pressure mapping, stump–socket interface stress, and limb volume (to address volume fluctuations)[27]",Systematic literature review (design synthesizing peer-reviewed studies)[27],"Highlights that anthropometric and anatomical capture methods (plaster casting, 3D scanning) combined with CAD/FEA and pressure-mapping inform socket design; design recommendations include adjustable sockets to accommodate volume changes and use of simulation/pressure data to optimize load distribution and comfort[27]",2023[27],Journal of Disability Research[27],"Moderate — systematic review summarizing many peer-reviewed studies (91 references), but level depends on quality of included studies rather than new primary data[27]"
"Advances in the measurement of prosthetic socket interface mechanics: a review of technology, techniques, and a 20-year update[28]","Narrative review of sensor and measurement methods including insertion of thin-film pressure sensors (force-sensitive resistors) between residual limb and socket, force transducer load-cells embedded in socket walls, capacitive sensors, fiber Bragg grating (fiber optic) sensors, fluid-filled (pneumatic) sensors, electronic skin (E-skin), benchtop testing and in-socket clinical measurements, and discussion of 3D-printed integrated sensor designs[28]","Lower-limb and upper-limb prosthetic sockets (transtibial, transfemoral, transradial, transhumeral, shoulder disarticulation)[28]","Aggregated literature across 87 articles covering participants with transtibial, transfemoral, transradial, transhumeral amputations and shoulder disarticulation; individual study sample sizes vary across included papers (not detailed in this review)[28]","Interface mechanical measures: normal pressures (reported range 12.5–760 kPa), shear stresses (~45–78 kPa), force magnitudes, pressure distributions, and related metrics captured via sensor placement either between limb and liner or between liner and socket[28]",Narrative review of experimental and clinical measurement studies (review synthesizing 87 articles covering benchtop experiments and in-socket clinical measurements)[28],"Sensor technologies can provide quantitative data to inform socket fabrication and assessment, but many experimental sensors lack clinical validation and ease-of-use; commercially available systems (e.g., Tekscan F-Socket) are commonly used despite accuracy limits, and larger, standardized clinical studies are needed to translate methods into practice[28]",2023[28],Prosthetics and Orthotics International (journal)[28],Moderate — narrative review synthesizing 87 studies including benchtop and small clinical studies; highlights experimental methods but notes limited large-scale clinical validation across technologies[28]
Low limb prostheses and complex human prosthetic interaction: A systematic literature review[29],"Systematic literature review extracting methods reported across studies: manual/biopotential measurements (sEMG/iEMG), EEG-based BCI, IMU and environmental sensors (force plates, cameras, GRF), 3D motion capture (Vicon), and machine learning for interpretation and control[29]","Lower-limb prostheses (ankle-foot, knee-ankle, transfemoral, transtibial)[29]",Not mentioned in source.,"Inertial measurements (IMU: acceleration, angular rate), ground reaction force (GRF), motion capture kinematics (Vicon), sEMG/iEMG, EEG, pressure sensors, and encoder/current sensors for joint angles/power[29]",Systematic literature review (review) summarising 194 selected articles[29],"Identified need for standardised design structure (HPI, sensing, electronics, control), gaps in energy management, and recommendation to integrate anthropometric/biomechanical sensing (IMU, GRF, motion capture) and ML-based interpretation for fit, ergonomics and control[29]",2023[29],Frontiers in Robotics and AI (Front. Robot. AI)[29],Moderate (systematic review summarising 194 articles; provides breadth but depends on included studies)[29]
The Perfect Fit : Using 3 D technologies to create custom-fitted prosthetic arm sockets[30],Not mentioned in source.,Prosthetic arm sockets[30],Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,The study reports substantial manufacturing cost reductions (~60%) and time savings (400 work hours per year) from using 3D technologies for custom-fitted prosthetic arm sockets[30],2016[30],Not mentioned in source.,Not mentioned in source.
Ergonomic guidelines for the design interfaces of additive modules for manual wheelchairs: sagittal plane[31],Motion-capture using video markers (AruCo markers) with GoPro HERO7 and OpenCV-based proprietary software to extract 2D point clouds; alpha-shape contouring and averaging; post-processing in Rhinoceros/Grasshopper to standardise loops and define averaged hand-reach areas[31],Manual wheelchair (additional accessory interfaces)[31],Ten manual wheelchair users (N=10); participants chosen to reflect 50th-percentile anthropometric dimensions; similar age and physical condition (no detailed age range reported)[31],"2D positional measurements of hand marker (ID1) relative to wheelchair reference marker (ID0) in sagittal plane; extracted point clouds converted to contours (alpha-shape), averaged to define four reach areas; control points and confidence intervals reported; shoulder height measured experimentally[31]",Experimental observational study with in-situ motion capture; repeated measures (three tests per participant) averaged to define reach areas (N=30)[31],"Defined four sagittal-plane hand-reach zones (AoC, AoA, AoR, AoP) with control points and confidence intervals to guide placement of accessory interfaces; recommend placing frequently-used or force-requiring controls within AoC/AoA and locating infrequent or low-force controls in AoR; provide point lists for plotting on wheelchair frames[31]",2023[31],Scientific Reports (Nature Publishing Group)[31],Moderate: peer-reviewed experimental study with clear methods and open-data availability but small sample size (N=10) limits generalisability[31]
An Integrative Computational Design Workflow and Validation Methodology for 3D-Printed Personalized Orthopedic Devices: Case Study of a Wrist‑Hand Orthosis (WHO)[32],"3D surface scanning to capture limb point clouds, CAD processing and mesh cleaning/repair, parametric/visual-programming-based CAD customization (Grasshopper + Rhinoceros), and FEA for design validation and optimization; applied in a semi-automated workflow to generate 3D-printable orthosis geometry[32]",Wrist-hand orthosis (WHO)[32],Patients requiring immobilization for distal radial/ulnar and carpal fractures; specific sample size and age range not mentioned in source.[32],"3D surface point clouds with high-resolution laser scanning (50 μm nominal, 30 μm accuracy); manual reference linear and circumferential measurements (wrist-elbow distance, arm length, palm/wrist/elbow circumferences); mesh processing steps (noise removal, decimation, tessellation, hole repair) used to produce watertight STL for CAD[32]",Methodology development and case study with prototype fabrication and multi-modal validation (observational/experimental case study)[32],A parametric 3D scanning-to-CAD workflow produced a functional dual-material WHO that withstood mechanical loads in testing without failure; FEA guided design changes (added fastening band); dimensional accuracy showed substantial portions of surfaces within ±0.1 mm tolerances; materials showed no significant proinflammatory response in vitro—supporting feasibility of the workflow for personalized orthosis design[32],2023[32],Processes (MDPI)[32],Moderate: single case-study/method development with prototype fabrication and laboratory validation but without large user trials or clinical sample size; data available upon request supports transparency[32]
Product Development of Assistive Technology for the Feet of a Person with Cerebral Palsy,3D scanning of a plaster mold; generation of 3D CAD model; additive manufacturing (Fused Deposition Modeling).,Customized foot orthosis (assistive orthotic device),Single case study: one child with cerebral palsy (no additional demographic details provided in source).,Geometry of plaster mold captured via 3D scan; limb dimensions implied from plaster cast (specific landmarks/dimensions not detailed).,Case study / product development study (single-subject),3D scanning of a plaster mold combined with CAD and FDM allowed creation of a customized orthosis with good results in the reported case; method supports personalized assistive product development.,2017,Not mentioned in source.,"Low (single case study; limited generalizability)"""
"Introduction to the Special Issue, Anthropometry in Design[33]","Discussion of multiple anthropometric methods: manual/standard measurements and ranges, 3D/4D body scanning for surface capture[33], and multivariate/statistical techniques including PCA and Virtual Fit Test (VFT) using CAESAR data[33].",Wearable products and furniture (including school furniture); general discussion applicable to prosthetic/assistive product design[33].,"Referenced datasets: ANSUR2 (6,068 US Army personnel: 4,082 males, 1,986 females) and CAESAR (≈5,000 civilian subjects aged 18–65)[33].","General anthropometric measures: circumferences, segment lengths, body mass; datasets contain many specific measurements (e.g., ANSUR2 includes 93 measurements)[33].","Editorial/overview introducing a special issue (literature overview and data-source discussion), not an original experimental study[33].","Highlights the value of 3D/4D scanning for capturing body surfaces in motion[33], recommends multivariate methods (PCA, VFT) for estimating accommodation in multivariate designs[33], and notes context-dependent fit tolerances including tight tolerance needs for prostheses[33].",2023[33],Special issue introduction (repository.tudelft.nl) / editorial in the special issue 'Anthropometry in Design'[33],Moderate (overview/editorial summarizing methods and datasets; useful for methods and theory but not primary empirical prosthetics studies)[33]
A Method for the Development of Personalised Orthosis Using Three-Dimensional Technologies,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,2023,Not mentioned in source.,Not mentioned in source.
Design and development of a novel 3D-printed non-metallic self-locking prosthetic arm for a forequarter amputation.,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,2020,Not mentioned in source.,Not mentioned in source.
"An Interplay of Chair Dimensions, Anthropometric Measures, Posture, and Comfort Among Students",Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,2023[34],Not mentioned in source.,Not mentioned in source.
The design of a family of parametric anatomically-based compliant buttock models to evaluate wheelchair cushion performance,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,2023,Not mentioned in source.,Not mentioned in source.
Association between anthropometric measurements of chairs and biomechanical variables leading to musculoskeletal problems in students at different government universities of Multan.[35],"Manual anthropometric measurement of 23 body dimensions and measurement of 11 chair dimensions, with analysis of fit using combinational equations[35]",Chairs (seating)[35],"383 university students in Multan, Pakistan (no age range given)[35]","Body dimensions including shoulder height, shoulder breadth, knee height, popliteal height, sitting elbow height, elbow-fingertip length, abdominal depth, buttock-popliteal length, thigh thickness, forearm width; and chair dimensions including seat height, depth, width, desk dimensions, backrest height/depth, seat pan depth[35]",Cross-sectional observational study[35],"Most existing chairs did not match student anthropometry, leading to musculoskeletal problems; study provides recommended chair dimensions (e.g., seat height 33.2 cm, seat width 43.6 cm, seat depth 42 cm)[35]",2023[35],Not mentioned in source.,Moderate (cross-sectional design with a relatively large sample of 383)[35]
Design and development of a novel 3D-printed non-metallic self-locking prosthetic arm for a forequarter amputation.,Not mentioned in source.,Prosthetic arm (forequarter/cosmetic prosthesis).,Single user with acquired forequarter amputation; specific sample size not stated in source summary.,Not mentioned in source.,Device design; iterative user-centred design and prototyping.,"The customised 3D-printed prosthesis provided precise fit, improved user satisfaction on QUEST 2.0 for effectiveness, size accuracy, ease of use and suspension compared to a traditional device; durability lower and weight 100 g heavier than prior prosthesis.",2020,Not mentioned in source.,Low (single-case device design study with no full-text details available).
Customizable Design of 3D Printed BodyPowered Prosthesis for Trans-Radial and Shoulder Disarticulation Amputees[36],"Measurements taken manually and stump scanned with a 3D scanner; stages: measurement, 3D scanning, 3D modeling, 3D printing, examination, analysis[36]",Body-powered prosthesis for trans-radial and shoulder disarticulation amputees[36],Trans-radial and shoulder disarticulation amputees (sample size not mentioned)[36],Manual hand size measurements and 3D scans of the stump/amputation area (specific dimensions/landmarks not mentioned)[36],Design and manufacturing study (development/experimental case study)[36],"3D printed prostheses enabled customizable designs suitable for trans-radial and shoulder disarticulation amputees; trans-radial prosthesis weight ~600 g, shoulder disarticulation ~900 g; functional features (detangler, auto-locking, voluntary open grip) allowed daily activities[36]",2019[36],Semantic Scholar entry (source URL) — original venue not provided in source metadata.[36],Low (developmental/design case study; full text and sample size not provided)[36]
Ergonomics Leg Prosthetic Redesign Using An Anthropometric Approach[37],"Static anthropometric measurement of a single user (manual body dimension measurements captured as named dimensions D6–D31) and application of percentile-based adjustments (95th percentile referenced) to redesign the prosthetic limb, with iterative trial fitting and material/component selection[37]",Leg prosthetic (lower-limb prosthesis)[37],Single case: one 61-year-old male unilateral (right) foot amputee (resident-based case)[37],"Specific body dimensions labeled D6–D31 (examples: D6=87.5 cm, D7=64 cm, D11=38 cm, D12=11.8 cm, D13=39 cm, D14=37 cm, D15=52 cm, D16=40.2 cm, D30=20.5 cm, D31=8 cm); static manual anthropometric measurements[37]",Single-case observational design with a redesign intervention and trial fitting (case study)[37],"Redesign using user-specific anthropometric measurements (adjusted via 95th percentile approach) produced improved comfort, reduced weight, and eliminated need for walking aid in this case[37]",2022[37],MATEC Web of Conferences (ICST2022)[37],Low — single-case study with limited generalizability and no quantitative controlled comparison[37]
Automated Design and Rapid Manufacturing of Low-Cost Customized Upper Limb Prostheses[38],"Methods: 3D scanning of stumps and contralateral limb, custom algorithms for 3D scan data processing, intelligent parametric CAD models that adapt geometry automatically to scan data, and additive manufacturing (FDM 3D printing) for prototype fabrication[38]","Upper-limb prostheses (mechanical prosthesis and cosmetic prosthesis); components: prosthetic socket, forearm, and hand[38]","Two patients: a 30-year-old male and an 11-year-old female, both with left transradial (forearm) amputations; sample size = 2[38]",Measurements: 3D scan-derived mesh planar section coordinates exported as point coordinates; seven parallel planes with closed splines defined by 8 control points each; parameters include arm/forearm lengths and stump circumference among others[38],"Case study / methodological development reporting two design/manufacturing cases using 3D scanning, CAD automation, and 3D printing (observational/descriptive)[38]","Key findings: Automated CAD-driven workflow based on 3D scans can generate customized upper-limb prostheses; printed sockets matched stump geometry in collision analyses; approach reduced design time to minutes and lowered costs, though clinical fitting and broader validation remain necessary[38]",2022[38],"Journal of Physics: Conference Series (GCMM 2021), IOP Publishing[38]",Moderate: methodological case study with detailed methods and prototype testing but small sample size (n=2) and no quantitative accuracy/clinical validation reported[38]
Design of an Individual Cover for a Lower Limb Prosthesis[39],"Collected surface geometry via optical 3D scanning (Artec Eva), reverse‑engineering to create CAD models, and additive manufacturing for production; sizing/alignment calibrated using a measured prosthetic tube adapter diameter (d = 35 mm)[39]",Lower limb prosthesis cover (cosmetic/protective cover for transfemoral prosthesis)[39],"Single subject case: 45‑year‑old male, left transfemoral amputation (residual limb with transfemoral prosthesis)[39]",Surface geometry of both limbs obtained by 3D scan (including residual limb with prosthesis and prosthetic knee region); a physical reference measurement: prosthetic tube adapter diameter (35 mm) used for scale/alignment[39],Design methodology case study / technical design report (single‑subject design)[39],"3D scanning + CAD enables practical, time‑saving capture of individual anatomy for bespoke cover design; AM production can reduce cost versus commercial designer covers; methodology requires replication on multiple subjects for verification[39]",2022[39],Acta Mechanica Slovaca (conference/journal PDF at provided URL)[39],"Low — single‑subject design, technical/case study without broader validation[39]"
The Perfect Fit : Using 3 D technologies to create custom-fitted prosthetic arm sockets[30],Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,2016[30],Not mentioned in source.,Not mentioned in source.
"Comparison of Traditional, MRI, and 3D Scanning Anthropometric Measurements in Hand Prosthesis Design[40]","Collected measurements using MRI, 3D scanning, and traditional manual anthropometry; analysed using one-way ANOVA and Bland-Altman plots[40]",Hand prosthesis (custom prosthesis design)[40],"Single participant: 29-year-old male with proximal phalanx amputation of right-hand fingers (index, ring, little)[40]","Thirty different hand measurements using 36 anatomical markers placed on both hands; measurements obtained from STL 3D models (Geomagic Studio) and traditional tools (tape, calipers)[40]","Observational measurement-comparison study (single-subject experimental comparison) with statistical analysis (ANOVA, Bland-Altman)[40]","No significant differences between traditional, MRI and 3D scanning measurements (p<0.98); 3D scanning closely matched MRI and is recommended for custom prosthesis design due to cost-effectiveness, speed, reliability and repeatability[40]",2022[40],Semantic Scholar record (original journal/conference not specified in source)[40],Low (single-subject study limits generalisability; observational comparison with limited sample)[40]
Automation of Measurements for Personalized Medical Appliances by Means of CAD Software—Application in Robin Sequence Orthodontic Appliances[41],"Digitization with an extraoral surface scanner followed by semi-automatic CAD-based processing and measurement using Rhinoceros 7 + Grasshopper (custom scripts/plugins) with user-selected anatomical landmarks, construction of base and sectional planes, automated extraction of sectional curves, centroids, widths, thicknesses, areas, lengths, angles and volumes, and CSV export of measurements[41]",Orthodontic personalized medical appliance: Tübingen Palatal Plate (TPP) intraoral device used in Robin sequence treatment[41],Newborns and small infants (three TPP cases: one newborn first-plate; two infants receiving second plates); sample = 3 devices/cases[41],"Landmark-based metrics: incisive papilla, Q1/Q2, extension end; sectional curves S0-S5 with centroids; widths, thicknesses, sectional areas, sagittal and effective lengths, inter-centroid angles, effective extension volume; measurements derived from mesh geometry following plane-sectioning[41]",Proof-of-concept experimental/technical study with measurements on three case samples[41],"CAD-based automated measurement enabled quantification of small morphological differences across TPPs, reduced measurement time and operator error, and has potential to inform standardization and guideline development for device design and fitting[41]",2022[41],Bioengineering (MDPI)[41],"Low (proof-of-concept, n=3 cases; technical validation rather than large-sample evaluation)[41]"
Design for All – Design for Disabled: How important is anthropometry?[42],Position paper summarizing workshop contributions and existing standardization efforts; discusses anthropometric data sources and gaps rather than original measurement methods[42],"Mobility and accessibility products / environments (assistive devices, wheelchairs, built-environment accessibility)[42]",People with disabilities; no specific sample size or age range reported in this position paper[42],Not mentioned in source.,Position paper / workshop summary (review/opinion)[42],Identifies significant gaps in anthropometric data for people with disabilities and calls for standardized data collection to support accessible product and environment design[42],2022[42],"Work (journal), supplement 73(s1): S57-S65[42]",Low — position paper / expert workshop summary (no original empirical data)[42]
3D Body Scan as Anthropometric Tool for Individualized Prosthetic Socks[43],"Used a Vitronic VITUSSMART LC full 3D body scanner with custom scanning scenario and Anthroscan software configuration; manual tape measurements per ISO 7250 for validation; measurements extracted via software length and cross-sectional tools; statistical analysis included paired t-tests, MAD, TEM, CV, and reliability constant calculations[43]",Prosthetic interface textile: individualized prosthetic socks / prosthetic stockings for upper-limb (arm) amputations[43],"Eight adult volunteers (4 men, 4 women); participants were persons without mobility disorders; sample size = 8[43]","Three longitudinal length measures and three circumferential measures per arm (total 12 locations); lengths measured between physical markers, circumferences via planar cross-sections in scanner software; markers placed to align manual and digital measures[43]",Experimental validation study (pre-study + data collection) comparing 3D scanning to manual tape measurements with statistical analysis (paired t-tests)[43],"A seated scanning scenario (arms slightly away) with specific scan angles (45° and 315° for different regions) produced usable scans; no significant mean differences between scanner and manual measures by paired t-test, scanned data had lower error for 9/12 measures indicating higher precision; scanner showed good external reliability though some validity and internal reliability limits noted; recommended further development and larger sample and work to convert scans to knit patterns for individualized prosthetic socks[43]",2021[43],Autex Research Journal (article available at sciendo.com)[43],Low — small sample (n=8) experimental validation; authors recommend larger sample (≥85) for stronger statistics[43]
Customized Designs and Biomechanical Analysis of Transtibial Prosthetic Leg[44],"3D scanning of the residual limb to capture geometry, CAD modification in 3-Matic to create socket designs, and Finite Element Analysis (FEA) to evaluate socket designs and materials[44]",Trans-tibial prosthetic leg (socket-focused)[44],One transtibial amputee (single-case)[44],"Residual limb geometry from 3D scan; socket dimensions specified (widths, length, wall thickness) and placement/size of perforations/windows recorded[44]",Design study with computational biomechanical evaluation (FEA) — single-case experimental/engineering analysis[44],Perforated/open designs reduced von Mises stress and displacement compared with conventional socket; ABS material provided greater stability than PP and similar performance to PLA; FEA indicates customized 3D-scanned sockets are promising for improved biomechanical performance[44],2021[44],Journal of Physics: Conference Series (IOP Conference paper)[44],Low (single-subject engineering study with computational FEA and limited generalizability)[44]
Customizable Design of 3D Printed BodyPowered Prosthesis for Trans-Radial and Shoulder Disarticulation Amputees[36],Measurements taken manually; 3D scanning of the stump; 3D modeling; 3D printing; examination and analysis stages.[36],Body-powered prosthesis for trans-radial and shoulder disarticulation amputees[36],Not mentioned in source.,Manual hand size measurements and 3D scan of the stump amputation area[36],Not mentioned in source.,"3D printed prostheses can provide customizable, body-powered prostheses for trans-radial and shoulder disarticulation amputees; reported weights and load capacities for device variants; inclusion of mechanisms for pronation/supination and auto-locking/voluntary open grip to support activities of daily living[36]",2019[36],Not mentioned in source.,Low (developmental/design case study; full text and sample size not provided)[36]
Custom Prosthetic Cover Development Methodology[45],Manual band-gauge anthropometric measurement plus optical 3D scanning with an Artec Eva; export to STL and CAD processing; scan processing and overlap using VG Studio MAX; averaging circumferential contours and creating size-category average models in Fusion 360 (CAD) for design and additive-manufacturing prototyping[45],Transtibial prosthetic covers (lower-limb prosthesis covers)[45],"17 subjects (11 female, 6 male), age range 18–70 years; 34 foreleg scans (left and right)[45]","Circumferential and length measurements referenced to three marked anthropometric points/axes around the knee joint (e.g., circumference below knee, minimum circumference above ankle, maximum length from knee axis to outer ankle); sectional circumferential contours taken every 50 mm and a transverse plane at ~340 mm from outer ankle[45]",Observational/descriptive study (database creation and methodological development combining manual measurement and 3D scanning for design purposes)[45],Proposed a size-category methodology (S/M/L) and CAD workflow enabling low-cost AM production of transtibial prosthetic covers; 3D scanning was superior to manual measurement for efficiency and precision; recommendation to use both length and a circumferential measure for improved size classification[45],2021[45],3DBody.Tech conference proceedings / paper PDF available at 3dbody.tech (source document)[45],Moderate (methodological development with practical application; limited sample size of 17 limits generalizability)[45]
Personalization of a Human Body Model Using Subject-Specific Dimensions for Designing Clothing Patterns[46],"Manual anthropometric measurements with tailor tape (23 clothing-industry dimensions) and scaling of a reference biomechanical model, followed by a Python-implemented personalization algorithm that applies polynomial interpolation to morph the scaled model to subject-specific dimensions (mesh morphing/polynomial-based surface personalization)[46]","Personal protective equipment / clothing patterns (PPE) and general virtual human body models applicable to PPE, orthopedic tools, and vehicle safety systems[46]","220 subjects total: Czech groups N=152 (children, adolescents, adults; ages 6–56), Chinese adults N=68 (ages 24–60). Males and females equally represented[46]","23 clothing-industry body dimensions (torso, head-neck, extremities) measured manually with tape and rectilinear height—examples include neck, chest, waist, hip circumferences, sleeve/arm/thigh/leg lengths, wrist/ankle circumferences[46]",Observational anthropometric study with methodological development (measurement study plus algorithm development/implementation)[46],"Measured subjects showed meaningful variation from population averages, supporting need for subject-specific models; developed a polynomial-based personalization algorithm that creates subject-specific biomechanical models from 23 simple measurements, enabling faster, lower-cost personalization versus 3D scanning and improving virtual prototyping for PPE and related products[46]",2021[46],Applied Sciences (MDPI)[46],"Moderate — moderate sample size across varied age groups (N=220), observational measurement study with algorithm implementation but limited to specific populations and lacking broader external validation[46]"
Customizable Design of 3D Printed BodyPowered Prosthesis for Trans-Radial and Shoulder Disarticulation Amputees[36],Measurements taken manually; 3D scanning of the stump; 3D modeling; 3D printing; examination and analysis stages.[36],Body-powered prosthesis for trans-radial and shoulder disarticulation amputees[36],Not mentioned in source.,Manual hand size measurements and 3D scan of the stump amputation area[36],Not mentioned in source.,"3D printed prostheses can provide customizable, body-powered prostheses for trans-radial and shoulder disarticulation amputees; reported weights and load capacities for device variants; inclusion of mechanisms for pronation/supination and auto-locking/voluntary open grip to support activities of daily living[36]",2019[36],Not mentioned in source.,Low (developmental/design case study; full text and sample size not provided)[36]
Design and development of a novel 3D-printed non-metallic self-locking prosthetic arm for a forequarter amputation.,Not mentioned in source.,Prosthetic arm (forequarter/cosmetic forequarter prosthesis).,Single-user case (acquired forequarter amputation); sample size: 1.,Not mentioned in source.,Device design / iterative user-centred design case study.,"3D scanning, CAD modelling and 3D printing enabled a fully customised cosmetic forequarter prosthesis with improved fit and user satisfaction compared to traditional device; lower cost (~20% less) and improvements in effectiveness, size accuracy, ease of use and suspension, but durability concerns and slightly heavier weight.",2020,Semantic Scholar entry (original journal/conference not specified in source)[47],Low (single-case device development study).
Perancangan mekanisme prototipe 3d scanner untuk penangkapan informasi objek (awal perancangan 3d scanner tangan manusia)[48],Not mentioned in source.,Prosthetic hand / cosmetic glove design (implied)[48],Not mentioned in source.,Not mentioned in source.,Prototype development and experimental testing of a 3D scanner for object geometry capture[48],"Prototype scanner can capture object contours under certain light positions, but produced image quality remained low, indicating need for better image capture hardware; implies potential for capturing hand geometry to support cosmetic glove/prosthetic hand design[48]",2012[49],Semantic Scholar entry (source) / Unclear peer-reviewed venue — likely thesis or conference report[48],Low (prototype/early-stage study with no detailed sample or validated measurements reported)[48]
Digital Human Modeling for Workspace Design,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,2008[50],Not mentioned in source.,Not mentioned in source.
