Source Title,Source Year,Definitions Content,Typologies Content,Clinical Content,Regulatory Content
Clinical evaluation of the revolutionizing prosthetics modular prosthetic limb system for upper extremity amputees,2021,"The source defines upper limb prostheses in terms of the MPL's purpose: to restore functionality, kinematics, strength, utility, dexterity, and intuitive movement of the human arm and hand for individuals with upper extremity limb loss [58].","The source contrasts prosthesis typologies: conventional body-powered prostheses versus active myoelectric devices and advanced pattern-recognition-controlled systems. It describes myoelectric devices (including direct amplitude-based control) and highlights pattern recognition as enabling simultaneous multi-DOF control; it positions the MPL as a high-DOF, pattern-recognition myoelectric system with modular robotic features [58].","The source reports clinical evaluation details: a two-phase study with virtual training and socket-integrated clinical training (12 sessions) assessing performance, feasibility, and acceptance in ADL simulations [58]. It used standardized functional outcome measures (BB, JHFT, ACMC) and TAC assessments, showing increased controllable motions and improved ACMC scores over time [58]. It documents clinical considerations in training duration, participant heterogeneity (amputation level, OI/TMR, congenital cases), prosthesis weight and comfort, need for longer training/home use, and subjective feedback on functionality and limitations [58].",Not mentioned in source.
Elbow Prosthesis for Partial or Total Upper Limb Replacements,2010,"This source defines upper limb prostheses as devices that may serve functional or solely cosmetic purposes, noting that functional prosthetic arms can be passive or active [59]. It further classifies active upper limb prostheses by power source into body-powered and externally powered systems [59].","This source describes typologies: active devices split into body-powered (including systems actuated by other body joints or via tendons) and externally powered (mainly electric, battery-powered) [59]. It contrasts body-powered systems as directly patient-driven with externally powered systems requiring more complex control strategies [59].","Clinical considerations noted: body-powered systems are suited to active users with sufficient residual mobility who desire direct control [59]. Myoelectric/EMG control is limited in degrees of freedom—typically sequential control for more than one axis due to user cognitive load [59]. Key clinical challenge is decoding user intent separate from executing movement [59], and VR training is used for candidate selection, training, personalization and assessment [59].",Not mentioned in source.
JRRD at a Glance vii Differences in myoelectric and body-powered upper-limb prostheses : Systematic literature review,2015,Not mentioned in source.,"The source compares myoelectric and body-powered prostheses, describing differences in control, function, feedback, cosmesis, and rejection [60].","The source addresses clinical considerations: it discusses prosthesis prescription and training options for patients (specifically U.S. servicemembers and vascular amputees) [60], emphasizes clinician focus on individual prosthetic preference and experience [60], and reports a lack of empirical evidence for functional differences between prosthesis types, highlighting gaps for research [60].",Not mentioned in source.
Myoelectric and Body-Powered Upper-Limb Prostheses: The Users’ Perspective,2017,Not mentioned in source.,This source discusses body-powered and externally powered (myoelectric) systems and their perceived benefits [61].,"The article emphasises clinical decision-making considerations in prosthetic rehabilitation and the value of peer mentoring [61]. It presents user perspectives comparing congenital vs acquired limb loss and unilateral vs bilateral absence, and discusses how these factors influence choice between body-powered and externally powered devices [61].",Not mentioned in source.
UPPER-LIMB PROSTHESES,2022,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.
A Biomedical Engineering Approach to Select an Appropriate Upper Limb Prosthesis,2011,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.
Cost of Ownership of Upper Limb Prostheses: A Retrospective Analysis,2017,"Defines an external limb prosthesis as ""an externallyapplied medical device to replace entirely, or partly, any absent or deficient limb segment"" [62]. Describes myoelectric prostheses as externally-powered devices that use the patient's myoelectric signals for control [62].","States main typologies: body-powered (BP) and externally-powered prostheses [62]. Explains BP prostheses rely on body motion for control [62], while externally-powered devices use user-generated signals to drive actuators (commonly electric motors and batteries) [62].","Provides limited clinical information: notes prostheses are for functional restoration of a compromised limb, and differentiates control methods (body motion vs. user-generated signals) which has implications for function and rehabilitation [62]. Does not provide detailed prescription criteria, outcome measures, or rehabilitation protocols.",Not mentioned in source.
Upper Extremity Prosthesis — What Is New in It?,2016,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.
Myoelectric Prosthetic Components for the Upper Limb Policy,2013,"This policy defines myoelectric upper limb prosthetic components in a medical-necessity context, stating they are indicated for patients with an amputation or missing limb at the wrist or above [63].","The source contrasts myoelectric components with standard body-powered prosthetic devices, indicating myoelectric options are considered when body-powered devices are unsuitable or insufficient for ADLs [63].","The policy lists clinical criteria for candidacy and prescription: sufficient residual musculature signal amplitude (microvolt threshold) [63], adequate neurological and cognitive function [63], and a functional evaluation showing likely benefit with training for ADLs including grip/release/holding/coordination, considering control, durability, function, and usability [63].",Not mentioned in source.
ACCEPTANCE OF UPPER LIMB PROSTHESES,2010,"The study defines upper limb prosthetic devices by classification into passive (cosmetic and passive work prostheses) and active devices (electrically- or body-powered), including combinations (hybrid) [64].","The source describes typologies as passive (cosmetic/passive work), body-powered, electrically powered (myoelectric/electric), and combinations (hybrid) [64]. It reports acceptance findings: electrically powered prostheses had the highest acceptance [64], while cosmetic prostheses had variable acceptance influenced by stigma factors [64].","The study reports clinical factors affecting prosthesis acceptance and thus relevant to prescription: demographic and psychosocial variables, involvement of therapist training, return-to-work status, level of amputation and dominance (with detailed distribution of amputation levels) [64]. It suggests electrically-powered devices are more acceptable and recommends considering these findings to guide successful prescription [64].",Not mentioned in source.
Upper limb control options for externally powered components,2016,"Defines externally powered upper limb prostheses as devices that convert bodily inputs into electrical signals interpreted by an electronic controller [65], and states their purpose is to provide controllable arm function tailored to the individual's capabilities and needs, with the clinical team matching control strategy to the user [65].","Describes typologies focused on control inputs and strategies for externally powered prostheses, listing input modalities including electromyography, potentiometers, force-sensing resistors and servos, and control approaches such as single-site, dual-site and switching systems [65]. Notes emerging options like implantable electrodes and pattern-recognition myoelectric control as potential expansions [65].","Emphasises clinical considerations in matching control strategies to user capabilities and needs, implying assessment of residual limb signals and training for input use [65]. Discusses that varied input modalities and control strategies allow individualized prescription decisions [65].",Not mentioned in source.
Measurement of Functional Outcome With Individuals Who Use Upper Extremity Prosthetic Devices: Current and Future Directions,2006,Not mentioned in source.,Not mentioned in source.,"The source focuses on outcome measurement related to prosthetic use and upper extremity function, emphasizing selection and development of activity and participation measures and psychometric considerations [12]. It notes a lack of prosthetic-specific measures for adults and recommends development and validation of such measures [12], building a core set of outcome measures including individualized measures [12], and forming networks to collect larger datasets across centers [12].",Not mentioned in source.
Prescription of the First Prosthesis and Later use in Children with Congenital Unilateral Upper Limb Deficiency: A Systematic Review,2006,"The source defines use of upper limb prostheses in children with transverse failure of formation of the upper limb and states their purpose is to provide functional benefits such as regained bimanual activities and body symmetry [66]. It also notes that technical limitations (weight, electrical vulnerability, speed, lack of sensory feedback) can limit functional benefit and contribute to rejection [66].",Not mentioned in source.,"The source focuses on clinical considerations for paediatric prescription: it investigates whether earlier first fitting (before age 2) relates to lower rejection rates and better functional outcomes [66]. It reports a consistent trend of lower rejection rates when fitted before two years of age [66], with a pooled OR indicating higher rejection for fittings after two years (OR=3.6) [66], while functional outcome measures were inconsistent across studies (one study found no differences) [66]. It highlights technical limitations (weight, electrical vulnerability, speed, lack of sensory feedback) as contributors to rejection and notes that current prescription guidelines are experience-based rather than evidence-based [66].",Not mentioned in source.
Devising the prosthetic prescription and typical examples.,2014,"Defines prosthetic prescription aims as enhancing independence and quality of life, with upper limb prostheses specifically aimed at restoring function while balancing durability, appearance, comfort, and usability [67].",Not mentioned in source.,"Notes that upper limb absence presents different clinical challenges than lower limb loss and discusses nuances in patient management, focusing on goals of function, comfort, and usability in prescription decisions [67].",Not mentioned in source.
A narrative review: current upper limb prosthetic options and design,2019,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.
Upper limb prosthetic prescription,2023,"Upper limb prostheses are used to restore the missing upper extremity with aims including cosmetic completion and restoration of function; they address significant functional, social and emotional losses associated with upper extremity amputation [68].","The source classifies prostheses into four main types: passive (cosmetic) prostheses that primarily provide cosmetic appearance and minimal support [68]; mechanical (body-powered) prostheses that use harness-cable systems to transmit user-generated force to operate joints and terminal devices [68]; electrical (myoelectric) prostheses that use surface electrodes to detect muscle electrical activity to drive motors for hand, wrist, and elbow functions [68]; and hybrid prostheses combining mechanical and electrical control, often using mechanical control for larger joints (e.g., elbow) and electrical control for hand/wrist [68].","Clinical prescription should match patient-specific factors and prosthesis characteristics; thorough assessment includes history (age, time since amputation, cause, comorbidities, prior prosthesis, environment, ADLs, occupation) and physical examination (amputation level, stump length/shape, scars, edema, ROM, muscle strength, phantom pain, cognition) which guide device selection and channel complexity (e.g., two- vs four-channel myoelectric) and socket/elbow planning [68]. Special considerations: geriatric or cognitively impaired patients may be better served with cosmetic or mechanical devices to reduce mental fatigue [68]; pediatric timing and growth require early fitting considerations and likely socket revisions, with ~4 years commonly recommended for myoelectric regular use [68]. Multidisciplinary team experience and trial/demo fittings are emphasized [68].",Not mentioned in source.
Functional assessment of current upper limb prostheses: An integrated clinical and technological perspective,2023,"Defines upper-limb prostheses as commercially available solutions including passive cosmetic limbs, mechanical grippers, and robotic prosthetic hands, used depending on level of limb loss; active prostheses restore function via mechanisms such as body-powered cable actuation or externally powered myoelectric control using sEMG [69].","Classifies types into passive/cosmetic, mechanical/body-powered (cable-operated hooks providing proprioceptive feedback), and robotic myoelectric (externally powered, sEMG-controlled) hands; also notes hybrids and design variations such as under-actuation, soft/flexible systems, passive vs active wrists, and combinations of active and passive DOFs [69].","Reports clinical considerations including high rejection rates (~23–27%) and user priorities (wrist ROM/speed, natural appearance, sensory feedback, socket comfort, weight). Recommends standardized functional assessment (ACMC) for evaluating prosthesis performance in ADL; discusses rehabilitation, importance of intuitive multi-DOF control, sensory feedback, osseointegration as an attachment alternative, and trade-offs between body-powered reliability and myoelectric dexterity [69].",Not mentioned in source.
Advanced upper limb prosthetic devices: implications for upper limb prosthetic rehabilitation.,2012,Not mentioned in source.,Not mentioned in source.,"The source reports high rates of prosthetic rejection among upper limb amputees [11], and suggests that rejection may be reduced through intensive training provided by a specialized, multidisciplinary rehabilitation team along with patient education and empowerment [11]. It states that the article examines current prosthetic rehabilitation practices, adoption trends, financial considerations, and the role of rehabilitation team members [11]. It also notes significant challenges in implementing advanced upper limb prosthetic technology and highlights a lack of evidence to establish clinical guidelines for prosthetic prescription and treatment [11].","The source describes partnerships (VA, DARPA, DEKA) to develop and optimize an advanced prosthetic arm system [11]. It calls for future research to identify best practices and inform policy decisions, including insurance coverage for prosthetic rehabilitation [11]. It does not provide detailed discussion of regulatory frameworks or device classification."
"Acquired limb deficiencies. 3. Prosthetic components, prescriptions, and indications.",2001,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.
Functional Outcomes in the WHO-ICF Model: Establishment of the Upper Limb Prosthetic Outcome Measures Group,2009,Not mentioned in source.,Not mentioned in source.,"The authors identify the need for systematic measurement of upper limb prosthetic function and adopt the WHO-ICF model as a framework; they note that no single assessment covers the full prosthetic use cycle and therefore formed a special interest group to review literature and identify validated outcome measures, with the goal of recommending a toolkit and highlighting gaps [70].",Not mentioned in source.
"Prosthetic Outcome Measures for Use With Upper Limb Amputees: A Systematic Review of the Peer-Reviewed Literature, 1970 to 2009",2009,"This systematic review frames upper limb (UL) prostheses in terms of their role in restoring UL functional abilities and participation, distinguishing measures of hand function (prehension, dexterity) from measures that assess the upper limb as an integrated unit [71]. The paper's purpose is to review outcome measurement in UL prosthetics and guide future research and clinical measurement priorities [71].",Not mentioned in source.,"The source reports that standardized outcome measurement is limited in adult UL prosthetics and identifies key measures with psychometric promise (ACMC, UEFS module of OPUS, DASH, TAPES) [71]. It emphasizes gaps in validity, reliability (especially test-retest and responsiveness), small sample sizes, mixed samples, and frequent use of ad-hoc measures in studies [71]. It suggests forming core outcome sets spanning hand function, UL function, participation, and QOL, and recommends individualized measures (COPM, GAS) alongside prosthetic-specific and generic tools; it also highlights need for clinician training and consideration of clinical utility (time, burden) when selecting measures [71].",Not mentioned in source.
Upper Limb Prosthetic Outcome Measures (ULPOM): A Working Group and Their Findings,2009,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.
Evaluation of Performance‑Based Outcome Measures for the Upper Limb: A Comprehensive Narrative Review,2018,"This review defines upper limb prostheses broadly as prosthetic technologies available to UL amputees, including devices operated by body movements and those using electromyography to control electromechanical terminal devices, with next-generation devices aiming to mimic intact limb ROM, dexterity, and sensory feedback [72].","The source distinguishes types by control method: body-powered (operated through body movements) and myoelectric (using EMG signals to control electromechanical terminal devices). It refers generally to a variety of prosthetic technologies and to next-generation (e.g., neural-interface, sensory-feedback) systems, but does not provide a structured taxonomy listing passive/cosmetic or hybrid categories explicitly [72].","The review emphasizes clinical assessment centered on outcome measures: both subjective self-report and objective performance-based measures are used to evaluate efficacy, guide device selection, and track rehabilitation [72]. It finds few validated performance-based measures specific to UL prosthesis users and recommends adapting or validating measures from other populations, noting gaps such as limited assessment of sensation, movement quality, lateral/bilateral tasks, and spatial task coverage [72].","The paper notes that advanced prosthetic technologies (particularly implantable/next-generation systems) carry increased risks and that robust outcome measurement is important to inform device regulation and review; it links higher device risk to the need for more stringent evaluation criteria but does not detail specific regulatory frameworks, classifications, standards, or validation pathways [72]."
"Upper Limb Prosthetic Outcome Measures: Review and Content Comparison Based on International Classification of Functioning, Disability and Health",2010,Not mentioned in source.,Not mentioned in source.,"This study compares content of outcome measures for upper limb prosthesis users using the ICF framework and reports selection and psychometric review of measures developed with prosthesis users [73]. It finds most measures (ACMC, CAPP-FSI, UBET, UNB, PUFI) focus on ICF 'Activity and participation' domains, while TAPES and OPUS also cover emotional and social status [73]. The authors conclude that using a mixture of outcome measures provides a more complete assessment of clients [73].",Not mentioned in source.
Physiatrist Perspective on Upper-Limb Prosthetic Options: Using Practice Guidelines to Promote Patient Education in the Selection and the Prescription Process,2017,This perspective frames upper limb prostheses as part of patient care for individuals with upper-limb loss and emphasizes their role in achieving patient goals and participation in decision-making [74].,Not mentioned in source.,"The source highlights clinical considerations: there is limited empirical evidence to guide prosthetic selection, barriers include cost/insurance, training access, and unrealistic expectations; standards of care vary and a goal-oriented, patient-centered shared decision-making process is recommended to optimize prescription and outcomes [74].",Not mentioned in source.
Differences in Myoelectric and Body-Powered Upper-Limb Prostheses: Systematic Literature Review,2017,"This systematic review defines the purpose of upper-limb prostheses as restoring function and meeting user needs related to control, sensory feedback, cosmesis, and reducing rejection/abandonment. It emphasizes individualized prescription based on patient preferences, experience, and functional requirements [35].","The source distinguishes main typologies by comparing myoelectric and body-powered systems. It reports body-powered devices offer durability, shorter training time, lower maintenance needs, and better feedback, while myoelectric devices offer improved cosmesis, possible reduction in phantom-limb pain, and suitability for light-intensity tasks. The review notes insufficient evidence to claim overall superiority of either type [35].","The review addresses clinical considerations: it aims to inform evidence-based prescription and training, highlights conflicting evidence on functional performance between device types, and recommends individualized selection considering patient preference, experience and functional needs. It notes lack of sufficient empirical evidence to favor one system overall and implies need for more high-quality studies for clinical guidance [35].",Not mentioned in source.
"Assessing physical function in adult acquired major upper-limb amputees by combining the Disabilities of the Arm, Shoulder and Hand (DASH) Outcome Questionnaire and clinical examination.",2011,"The study frames upper-limb prostheses in the context of addressing functional impairment after limb loss, indicating that upper-limb loss affects physical function and that assessment tools (DASH) and clinical examinations are useful to evaluate prosthesis-related function [75].",Not mentioned in source.,"The source emphasizes clinical assessment methods for adults with major upper-limb amputation, using the DASH questionnaire and clinical examination of joint motion and muscle strength with and without prostheses [75]. It reports associations between prosthesis wear and impaired joint motion and reduced shoulder abduction strength [75]. The paper suggests DASH limitation profiles and targeted clinical examinations can identify patients needing additional rehabilitation and aid in evaluating prosthesis function [75].",Not mentioned in source.
Pediatric Upper Limb Outcome Measurement,2009,"This article frames upper limb prostheses in pediatrics as therapeutic devices whose provision requires evaluation through outcome measurement, highlighting the need to assess benefits and justify prosthetic fitting and rehabilitation interventions [76].","The source discusses myoelectric and body-powered prostheses in the pediatric context, noting the historical introduction and comparative evaluations of myoelectric versus body-powered hands; it does not detail passive/cosmetic or hybrid classifications [76].","The source focuses on clinical and functional assessment: it reviews historical outcome-measure development, describes efforts to create standardized test batteries (prehension assessments, UNB Test of Prosthetic Function) to guide prescription, evaluate benefit (especially for myoelectric fittings), and highlights gaps in validation and normative data for pediatric prosthetic function [76].",Not mentioned in source.
"The roles of predisposing characteristics, established need, and enabling resources on upper extremity prosthesis use and abandonment",2007,"This review frames upper limb prostheses as clinical rehabilitation devices intended to enable participation in life activities, achieve personal goals, and support functional and psychosocial needs of individuals with limb deficiency [5].","The source discusses prosthesis typologies in terms of passive (cosmetic), body-powered (mechanical hooks), and electric/myoelectric (electric hands), and compares acceptance/rejection rates across these categories; it also notes environmental and activity-based selection preferences favoring body-powered hooks for demanding settings and electric hands for cleaner environments [5].","The source addresses clinical considerations including the roles of multidisciplinary rehabilitation centres providing information, fitting, training, and follow-up; timing of fitting (early fitting often recommended, with suggested windows from 12 weeks to 6 months) and controversy around optimal training protocols; importance of standardized outcome measures and tailored prescription based on level of limb loss, age, and lifestyle; and recognition that multiple/prosthesis combinations may improve long-term use [5].",Not mentioned in source.
Factors influencing perceived function in the upper limb prosthesis user population,2021,"This source frames upper limb prostheses as assistive devices used to enable individuals with upper limb loss/difference to execute tasks in natural environments, with assessment via patient-reported outcomes of perceived capacity/functional ability [77]. It notes prostheses vary from static passive devices to physiologically controlled (myoelectric/neuro-controlled) systems with multiple controllable degrees of freedom [77].","The source classifies prosthesis types used by participants into passive (nonpositionable and positionable), body-powered, electrically powered (myoelectric/electric), hybrid, and activity-specific devices, and uses these categories in analyses [77].","Clinically, the paper emphasizes using validated PRO measures (CAPROQ) to assess perceived function, satisfaction, and pain, and reports that higher satisfaction and lower pain are associated with higher perceived function, while more proximal amputation level (elbow and above) is associated with lower perceived function [77]. It discusses implications for rehabilitation, training, device selection, and risk of device abandonment related to satisfaction and perceived function [77].",Not mentioned in source.
Validation of the orthotics and prosthetics user survey upper extremity functional status module in people with unilateral upper limb amputation.,2008,"This source frames upper limb prostheses in the context of rehabilitation outcome measurement: it emphasizes the need for valid outcome instruments to assess functional status and benefits of prosthetic components from the patient's perspective, and describes the UEFS as a patient-reported measure asking how easily individuals perform daily activities using or not using a prosthesis [78].","The source does not provide a classification or detailed descriptions of prosthesis typologies (passive/cosmetic, body-powered, myoelectric, hybrid). It notes patients' varied experience with multiple prosthesis types and recommends testing UEFS in samples using myoelectric prostheses, but gives no typology definitions or comparisons [78].","The source addresses clinical considerations primarily in outcome measurement and prosthesis use patterns: it describes UEFS content (23 daily living tasks), reports how frequently prostheses were used for activities, and presents group comparisons (e.g., trans-radial non-dominant vs dominant side differences). It discusses implications for sample selection (rehabilitation timing) and recommends further validation across amputation levels and during rehabilitation/training [78].",Not mentioned in source.
Limb deficiency and prosthetic management. 1. Decision making in prosthetic prescription and management.,2006,Not mentioned in source.,Not mentioned in source.,"The source discusses clinical considerations and prosthetic prescription, including classification and management of congenital upper-limb deficiency, age-related differences in management, use of case examples to formulate prosthetic prescriptions for transradial limb deficiency, and evaluation of anticipated functional levels [79].",Not mentioned in source.
User-relevant factors determining prosthesis choice in persons with major unilateral upper limb defects: A meta-synthesis of qualitative literature and focus group results,2020,"This study defines prosthesis choice as the individual's decision to wear a specific prosthesis type (cosmetic/passive, body-powered, standard mono-grip myoelectric (SHP), multi-grip myoelectric hand prostheses (MHP), DEKA-arm) or to not wear one [14]. It frames upper limb absence (from amputation or congenital defect) as having major life impact, motivating prosthetic use to restore function, appearance, participation and quality of life [14].","The source classifies prostheses into cosmetic/passive, body-powered, standard mono-grip myoelectric (SHP), multi-grip myoelectric hands (MHP) and the DEKA-arm [14]. It notes MHPs (introduced circa 2006) provide multiple grips via movable digits [14], and distinguishes DEKA (foot-controlled) from MHPs (myoelectric control) [14].","Clinically, the paper emphasizes individualized prescription: goals vary (function vs appearance/social integration) and matching user needs is crucial to reduce high abandonment rates (~35%) [14]. It reports perceived trade-offs across types: MHPs can increase dexterity but may be less robust, harder to control, and noisier [14]. Rehabilitation and prosthetist services (training, maintenance, reimbursement, trial periods) are central to successful adoption [14]. The authors call for comparative studies on function, satisfaction and cost-effectiveness to inform evidence-based prescription [14].",Not mentioned in source.
Prosthetic Rehabilitation and Vascularized Composite Allotransplantation following Upper Limb Loss.,2019,Not mentioned in source.,Not mentioned in source.,"The review discusses complex considerations in choosing between prosthetic rehabilitation and vascularized composite allotransplantation, noting psychosocial factors, nature of injury, rehabilitation course, functional outcomes, and risks/benefits that affect patient selection; it also states that few studies directly compare outcomes between prosthetic rehabilitation and transplantation and that both modalities have different risk-to-benefit profiles and indications. ",Not mentioned in source.
Methods for clinical evaluation,2020,Not mentioned in source.,Not mentioned in source.,"The source summarises measurement and evaluation methods for upper limb prosthetics, describing traditional observational and questionnaire-based approaches and their strengths/limitations [80]. It details clinical outcome measures and tasks used in prosthesis assessment such as assessment of myoelectric control, the Southampton Hand Assessment Procedure, Box and Blocks, Clothespin Relocation Task, and Activities Measure for Upper Limb Amputees [80]. It covers laboratory-based techniques including gaze behaviour and kinematic analysis and specifically kinematics of goal-directed movement in prosthesis users [80]. It also discusses real-world monitoring and metrics to capture prosthesis use, and highlights data issues like lack of standardisation in prosthesis and participant characteristics [80].",Not mentioned in source.
"Dexterity, activity performance, disability, quality of life, and independence in upper limb Veteran prosthesis users: a normative study",2020,"This study defines upper limb prosthesis users as persons with upper limb amputation (ULA), specifically ‘‘major ULA’’, i.e. at or proximal to wrist disarticulation, and describes the purpose of prostheses as devices and components available to persons with ULA to mitigate impairments related to limb loss [81]. The study notes prevalent device classes as body-powered and externally powered (myoelectric) and includes hybrids and advanced devices (LUKE Arm) among active prostheses used for function and activity assistance [81].","The paper classifies prostheses into body-powered, myoelectric (subdivided into single-DOF and multi-DOF terminal devices), hybrid (categorized by terminal device function), and specific advanced systems (LUKE Arm categorized as myoelectric) [81].","The study reports clinical considerations and outcomes: it measured dexterity, activity performance, disability, HRQoL, community integration, and prosthesis satisfaction using standardized performance and self-report measures, stratified by amputation level and prosthesis type [81]. It found marked impairment in dexterity, greater impact with more proximal amputations, and no clear advantage of more complex (e.g., myoelectric multi-DOF) devices on average; it highlights the need to consider training, prosthesis engagement (e.g., bilateral users), and individual characteristics in prescription decisions and further comparative research [81].",Not mentioned in source.
The Assessment of Capacity for Myoelectric Control : Psychometric evidence and comparison with upper limb prosthetic outcome measures,2013,Not mentioned in source.,Not mentioned in source.,The source states that evaluating outcomes using validated prosthetic outcome measures is a current priority in upper limb prosthetics and focuses on psychometric evidence for outcome measures relevant to UL prosthesis users [82].,Not mentioned in source.
Myoelectric versus Body-Powered Upper-Limb Prostheses: A Clinical Perspective,2017,Not mentioned in source.,"This source discusses major prosthesis control types, specifically myoelectric, body-powered, and hybrid systems, and addresses their indications, benefits, contraindications, and drawbacks [40].","The source frames clinical considerations around cosmesis, comfort, and control, emphasizes balancing these in rehabilitation, discusses management across amputation levels (including more proximal levels), and addresses obstacles affecting procurement of appropriate control options [40].",Not mentioned in source.
Outcome measures used in the evaluation of adult upper-limb prostheses - kinematic and functional aspects: A scoping review.,2025,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.
The Upper Extremity Functional Scale for Prosthesis Users (UEFS-P): subscales for one and two-handed tasks,2022,Not mentioned in source.,Not mentioned in source.,"The source focuses on a self-report outcome measure for prosthesis users and reports that measurement of upper limb function with prosthesis is challenging [83]. It presents the UEFS-P as having promising psychometric properties [83], reports prosthesis use percentages for unilateral and bilateral tasks among respondents [83], identifies separate One-handed and Two-handed task factors with fit indices [83], and provides reliability statistics (person reliability and ICCs) for the scales [83].",Not mentioned in source.
Comparison of clinical test and questionnaires for the evaluation of upper limb prosthetic use in children,2004,Not mentioned in source.,Not mentioned in source.,"The study evaluates assessment tools for upper limb prosthetic use in children, reporting that the UNB observational test and parental CAPP questionnaires correlate significantly, indicating both can be used to assess prosthetic use but neither is optimal [84].",Not mentioned in source.
Function and quality of life of unilateral major upper limb amputees: Impact of prosthesis use and type.,2020,"This study frames upper limb prostheses as assistive devices intended to reduce disability and difficulty in activities for unilateral major upper limb amputees; the authors state that prosthesis use (versus non-use) and type affect activity difficulty and disability, indicating their purpose is to improve function and support activities of daily living [50].","The paper distinguishes between non-use, cosmetic (passive), body-powered, and myoelectric prostheses, comparing outcomes across these categories and reporting better activity performance with body-powered and myoelectric devices compared with cosmetic or no prosthesis [50].","The study reports clinical outcome measures used in prosthetic evaluation: QuickDASH for upper-limb disability, VR-12 for health-related quality of life, and specific activity-difficulty and ADL assistance questions. Analyses show non-users have worse disability scores and higher odds of needing ADL help compared with body-powered users; cosmetic users reported more task difficulty than body-powered or myoelectric users. The authors emphasize promoting prosthesis use and call for further research comparing physical performance by configuration [50].",Not mentioned in source.
Clinical evaluation of the revolutionizing prosthetics modular prosthetic limb system for upper extremity amputees,2021,"This source defines upper limb prostheses in practice as advanced upper extremity (UE) prosthetic systems designed to restore function, strength, dexterity, and kinematics of the human arm and hand for individuals with UE loss, aimed at enabling activities of daily living and intuitive control of missing limb movements [58].","This source describes prosthesis typologies including body-powered (conventional devices such as body-powered hooks) and active myoelectric devices (poly-articulated myoelectric hands). It contrasts direct (signal amplitude/on-off) myoelectric control with pattern-recognition control, and notes hybrid approaches in system integration (e.g., MPL supports multiple input sources including sEMG and TMR-enhanced signals). It does not explicitly use the term ""passive/cosmetic"" but discusses conventional (non-myoelectric) devices versus advanced myoelectric systems [58].","This source addresses clinical considerations: it reports a clinical protocol including virtual and socket-based training, outcome measures for functional performance (BB, JHFT, ACMC), and the TAC for controller accuracy; documents training duration (12 sessions) and assessment timing (baseline, midpoint, exit); reports improvements in pattern-recognition accuracy, number of controllable motion classes, and ACMC scores but mixed/no significant changes in BB and JHFT; captures user feedback on weight, comfort, and training needs; and discusses inclusion/exclusion criteria and safety/IRB oversight for participant selection and study conduct [58].","This source documents regulatory and ethical oversight relevant to medical-device clinical evaluation: Institutional Review Board approval, informed consent procedures, and registration on ClinicalTrials.gov, but it does not discuss device regulatory classification (e.g., FDA/CE), ISO standards, or formal safety/market approval processes. It therefore provides study-level regulatory/ethical context without broader device regulatory framework details [58]."
Functional outcome measures for pediatric upper limb deficiencies with and without prostheses: A systematic review and appraisal.,2025,Not mentioned in source.,Not mentioned in source.,"The source focuses on clinical measurement: it systematically reviews instruments for assessing upper limb function in children with upper limb deficiencies, identifying 19 reports covering 4 performance-based tests and 6 patient-reported outcome measures [85]. It highlights the Assessment of Capacity for Myoelectric Control (specific to myoelectric prostheses) and the Assisting Hand Assessment as the most promising observational measures [85]. It provisionally recommends the parent-reported Child Amputee Prosthetics Project-Functional Status Inventory for broader use [85], and notes that PROMIS and PODCI are invalid for this population .",Not mentioned in source.
Towards assessing the preferred usage features of upper limb prostheses: most important items regarding prosthesis use in people with major unilateral upper limb absence—a Dutch national survey,2021,"This source frames upper limb prostheses in terms of user-centered purpose: to provide functional match between user and device, measured by the PUF-ULP, emphasising user priorities such as wearing comfort and function [86].","The paper differentiates prosthesis types in user responses: mono- and multi-grip myoelectric prostheses (MHP) are associated with prioritising functional items, whereas passive/cosmetic prostheses are associated with prioritising comfort and appearance; it therefore recognises typologies including myoelectric and passive/cosmetic devices and notes differences in user priorities across types [86].","The source provides clinical-relevant findings about user priorities for prosthesis prescription and outcomes: top priorities included wearing comfort, ability to grab/pick/hold, and weight [86]. It lists nine patient-reported outcome domains (PUF-ULP) relevant to clinical assessment and matching devices to user needs, including functionality, independence, phantom limb pain, overuse complaints, and reliability [86]. The measure is intended to support evaluation of fit between patient needs and prosthesis.",Not mentioned in source.
